,Coefficient
lag1,1.0596879531496697
lag2,-0.6382761607768921
lag3,0.15386189178468987
lag4,-0.011166796275623591
lag5,-0.03289249681349691
lag6,-0.1438112821803148
lag7,-0.005516232394246484
Time,1.8214361405077844
Hr [%Hr],-0.667028167460735
RainDur [min],-0.17275299102547423
StrGlo [W/m2],-0.008036704792019265
T [°C],2.021137666140333
WD [°],-0.033762615726662774
WVs [m/s],-0.0
WVv [m/s],-1.3218002499678332
p [hPa],0.08376770687549902
Weekday_Friday,0.0
Weekday_Monday,-3.7385632105605437
Weekday_Saturday,-13.310923179649032
Weekday_Sunday,-24.428961996976437
Weekday_Thursday,5.1745983393832455
Weekday_Tuesday,4.153174082942834
Weekday_Wednesday,4.934807229620696
Month_April,-0.0
Month_August,-6.666624987648052
Month_December,-0.0
Month_February,-1.7947702480443617
Month_January,-0.0
Month_July,-10.29113315924106
Month_June,0.0
Month_March,-0.0
Month_May,3.631907860041797
Month_November,9.721644236740019
Month_October,2.7423942822252534
Month_September,0.0
